,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
0,1,1,0,"[-0.00993313 -0.00861028 -0.00729153 ...  0.00663111  0.00644356
  0.00624286]",0.067,0.64,-0.351,5.488,0.984,0.826,0.5155246248684991
1,1,1,0,"[-0.00371651 -0.0036078  -0.00354787 ...  0.02329297  0.0222481
  0.02120081]",0.66,0.576,-0.436,4.667,0.984,0.853,0.5389764192535366
2,2,1,0,"[ 0.00149847  0.00233456  0.00312386 ... -0.00063994  0.00016831
  0.00098927]",0.757,0.581,2.357,21.026,0.994,0.705,0.24409324484334116
3,2,1,0,"[-0.00951663 -0.01166645 -0.01373985 ... -0.09810605 -0.08839789
 -0.07857585]",0.0,0.359,2.793,10.972,0.967,0.864,0.4831330471920089
4,0,1,0,"[ 0.00456431  0.00508772  0.00560984 ...  0.00107385  0.0004665
 -0.00020549]",0.017,0.65,0.848,8.196,0.988,0.813,0.34139251025347556
5,0,0,1,"[ 0.00071378  0.00256546  0.00437608 ... -0.00110683 -0.00216737
 -0.00328255]",0.213,0.612,1.062,6.301,0.986,0.717,0.17286577313531565
6,0,1,0,"[ 0.01968087  0.01798543  0.0162967  ... -0.00887504 -0.00514587
 -0.00129998]",0.241,0.853,1.305,6.842,0.977,0.841,0.33265399458792516
7,0,1,0,"[ 1.71202359e-03  8.58368104e-04  2.16504750e-05 ... -1.22314729e-02
 -9.98392496e-03 -7.66575147e-03]",0.236,0.846,1.577,7.187,0.983,0.834,0.32861069613343585
8,1,1,0,"[-0.00189901 -0.00127068 -0.00065452 ...  0.01073888  0.01010657
  0.00949694]",0.26,0.703,3.939,18.922,0.984,0.934,0.4950541590592456
9,1,1,0,"[-0.0022052  -0.003403   -0.00458534 ...  0.00690144  0.00633779
  0.0057647 ]",0.045,0.65,4.221,21.161,0.987,0.901,0.5169367955550117
10,1,1,0,[0.00012712 0.00314375 0.00607221 ... 0.00797458 0.00661226 0.00523821],0.675,0.577,4.461,24.011,0.99,0.917,0.5746078629368171
11,1,1,0,"[-0.00794572 -0.01279814 -0.01778758 ... -0.00987236 -0.00919592
 -0.00848298]",0.004,0.642,4.144,25.463,0.992,0.89,0.5915628037019955
12,0,0,0,"[ 0.00218612  0.00349587  0.00474185 ... -0.02261705 -0.02221683
 -0.02180693]",0.218,0.616,1.917,5.884,0.973,0.797,0.3581198163284628
13,0,0,0,"[ 0.02922522  0.03233743  0.03539793 ... -0.00171551 -0.00174248
 -0.0017882 ]",0.102,0.572,2.445,8.686,0.967,0.808,0.39852736989426635
14,0,1,0,"[ 0.01953984  0.030348    0.04113734 ... -0.00676976 -0.0058108
 -0.00488379]",0.54,0.574,3.094,13.938,0.987,0.931,0.5708476854716685
15,0,1,0,"[-0.02332758 -0.0242831  -0.02514909 ... -0.03280147 -0.03006642
 -0.0272984 ]",0.461,0.58,2.02,8.792,0.99,0.856,0.4746543150001848
16,1,1,1,[0.00434617 0.00573024 0.00707996 ... 0.00222718 0.00137912 0.0005155 ],0.003,0.39,1.757,65.494,0.989,0.655,0.17084837007717776
17,0,1,0,"[ 0.00621335  0.00665745  0.00709767 ... -0.0027565  -0.00332047
 -0.00387085]",0.188,0.612,-1.603,5.341,0.978,0.794,0.33267193332073997
18,1,1,0,"[-0.00250806 -0.0038704  -0.00518559 ... -0.00145043 -0.00199194
 -0.00257018]",0.002,0.637,4.232,21.501,0.994,0.866,0.49932335458535876
19,0,0,0,"[ 2.57496734e-03  2.67803108e-03  2.75609703e-03 ...  3.35808739e-04
  1.20064502e-05 -3.46684466e-04]",0.132,0.585,-1.662,5.788,0.984,0.795,0.34074019158938373
20,0,1,0,"[-0.00350131 -0.00631363 -0.00906639 ... -0.0095564  -0.00897723
 -0.00838437]",0.009,0.65,2.364,9.433,0.988,0.839,0.4007958257523827
21,1,1,0,"[-0.00519507 -0.00911854 -0.01295072 ... -0.02914972 -0.02573623
 -0.02261601]",0.325,0.578,2.939,11.511,0.986,0.921,0.4809333235913409
22,0,1,0,[0.00513845 0.00610054 0.00702551 ... 0.00947712 0.00885736 0.00821053],0.004,0.656,2.535,11.885,0.991,0.856,0.4342931788490796
23,1,1,0,"[ 0.03547449  0.03498123  0.03447353 ... -0.00645367 -0.00380899
 -0.00105109]",0.307,0.773,2.65,10.081,0.983,0.925,0.4725905136294596
24,1,0,0,[0.01122127 0.0098842  0.00857823 ... 0.00641678 0.00719872 0.00800942],0.004,0.559,3.389,15.858,0.994,0.862,0.522670021048045
25,1,1,0,"[-0.0164415  -0.01273715 -0.00911751 ... -0.03384725 -0.03919606
 -0.04463294]",0.051,0.63,3.95,19.729,0.981,0.912,0.5641432410444343
26,1,0,0,"[ 0.00443657  0.00041665 -0.00352112 ...  0.00626445  0.00400943
  0.0017115 ]",0.854,0.571,3.999,19.728,0.993,0.888,0.5500058078171556
27,1,0,0,"[ 0.00177161 -0.00027418 -0.00226659 ...  0.00203522  0.00094247
 -0.00017849]",0.569,0.591,4.089,20.976,0.99,0.918,0.5826045085156883
28,0,1,0,"[ 0.0786254   0.07486282  0.07139279 ... -0.03761001 -0.03179304
 -0.02595557]",0.224,0.625,3.702,18.105,0.968,0.905,0.5046027357085889
29,0,1,0,"[-0.005965   -0.00381366 -0.00173529 ...  0.0118862   0.00913971
  0.00632195]",0.235,0.533,3.089,13.995,0.984,0.875,0.4649541027599926
30,0,1,0,[0.00286813 0.00510507 0.00727252 ... 0.01763749 0.01565125 0.01359064],0.169,0.627,2.218,8.811,0.984,0.823,0.36088697910417145
